"Customer_Age","Gender","Education_Level","Marital_Status","Income_Category","Months_Inactive_12_mon","Credit_Limit","Total_Trans_Amt","Total_Trans_Ct"
50,"M","Graduate","Married","$80K - $120K",2,16813,1482,46
33,"M","Post-Graduate","Married","$80K - $120K",2,16434,1726,37
50,"M","Graduate","Single","$60K - $80K",2,21872,1806,31
51,"M","High School","Married","$80K - $120K",2,15897,1405,43
55,"F","Graduate","Single","Less than $40K",1,7361,1175,34
26,"M","College","Single","Less than $40K",1,1438.3,1786,37
42,"F","Graduate","Married","Less than $40K",3,8628,1675,58
54,"M","College","Married","$80K - $120K",3,18750,1200,36
65,"F","Graduate","Married","$40K - $60K",3,2961,1937,57
58,"M","High School","Married","$60K - $80K",1,8308,1915,37
39,"F","Post-Graduate","Married","$40K - $60K",2,3249,1988,36
52,"M","High School","Married","$120K +",1,2981,1648,30
45,"F","Graduate","Married","Less than $40K",1,8829,1902,45
42,"M","College","Married","$60K - $80K",1,7340,838,24
57,"M","Post-Graduate","Married","$120K +",2,16952,1918,61
55,"M","Doctorate","Single","$80K - $120K",1,20865,837,25
44,"F","College","Unknown","Less than $40K",3,3083,4311,78
51,"M","Graduate","Married","$40K - $60K",1,12240,1422,26
37,"M","Graduate","Married","$80K - $120K",2,5120,1680,32
36,"F","Graduate","Married","Less than $40K",1,3124,1652,41
51,"F","High School","Married","Less than $40K",3,11261,1158,26
43,"M","College","Married","$60K - $80K",2,22157,1911,55
46,"M","Graduate","Married","$40K - $60K",2,11477,1260,27
43,"F","Graduate","Married","Less than $40K",2,3933,1489,45
56,"M","Graduate","Married","$80K - $120K",3,8022,1794,31
53,"M","Graduate","Single","$80K - $120K",3,30271,3231,47
50,"M","High School","Unknown","$60K - $80K",2,3244,1274,32
43,"F","Graduate","Married","$40K - $60K",1,2936,1572,57
54,"M","High School","Married","$80K - $120K",1,1438.3,1935,41
41,"M","Graduate","Single","$80K - $120K",3,11806,1465,31
48,"M","Post-Graduate","Single","$60K - $80K",2,4734,1570,45
55,"M","High School","Single","$40K - $60K",2,6244,1445,40
54,"F","Graduate","Married","Less than $40K",1,1438.3,694,15
35,"M","Graduate","Single","$80K - $120K",1,23561,2447,64
55,"M","High School","Married","$80K - $120K",2,27560,646,10
45,"F","College","Divorced","Less than $40K",1,5923,1236,35
55,"F","Graduate","Married","$40K - $60K",3,3156,2091,48
46,"M","Graduate","Married","$60K - $80K",1,1535,1848,25
61,"F","Graduate","Married","Less than $40K",3,2122,949,17
51,"F","Graduate","Married","Less than $40K",2,5822,1804,49
39,"M","Doctorate","Married","$60K - $80K",1,3537,1605,43
43,"M","Graduate","Married","$120K +",1,34516,1463,38
53,"M","Graduate","Single","$60K - $80K",4,16320,1279,41
38,"M","High School","Married","$80K - $120K",3,2407,1470,28
49,"F","High School","Single","Less than $40K",1,3538,1265,38
53,"M","Graduate","Single","$80K - $120K",3,34516,1475,33
46,"M","Post-Graduate","Single","$40K - $60K",2,15459,1419,30
55,"M","High School","Single","$120K +",1,34516,1161,26
44,"M","College","Unknown","$80K - $120K",1,6361,1571,38
57,"M","High School","Married","$80K - $120K",1,15428,1916,40
57,"M","High School","Married","$40K - $60K",1,2544,1346,30
48,"M","High School","Married","$80K - $120K",1,9959,805,24
51,"M","Graduate","Single","$60K - $80K",3,8796,1195,18
45,"F","Doctorate","Single","Less than $40K",2,1438.3,1431,34
41,"M","Post-Graduate","Married","$60K - $80K",3,18001,1194,25
51,"F","Graduate","Single","Less than $40K",1,2680,1154,33
46,"F","High School","Married","Less than $40K",4,4675,1232,34
40,"F","College","Married","Less than $40K",1,2448,1269,30
33,"M","Doctorate","Married","$60K - $80K",3,4049,1742,35
