"CLIENTNUM","Customer_Age","Gender","Education_Level","Marital_Status","Income_Category","Months_Inactive_12_mon","Credit_Limit","Total_Trans_Amt","Total_Trans_Ct"
712991808,53,"M","Uneducated","Married","$60K - $80K",5,2451,1596,26
709029408,41,"M","Graduate","Married","$60K - $80K",1,8923,1589,24
788658483,53,"F","College","Married","Less than $40K",2,2650,1411,28
787937058,58,"M","Graduate","Married","$80K - $120K",2,12555,1291,24
715318008,55,"F","College","Single","Less than $40K",2,3520,1407,43
713962233,55,"F","Graduate","Married","Less than $40K",2,3035,1877,37
785432733,42,"F","High School","Married","Less than $40K",3,15433,966,22
715190283,57,"F","Graduate","Unknown","$40K - $60K",3,3672,1464,28
708300483,66,"F","Doctorate","Married","Unknown",4,7882,704,16
827111283,45,"M","Graduate","Single","$80K - $120K",2,32426,1109,28
758551608,51,"M","Unknown","Married","$40K - $60K",1,6205,1347,28
773146383,50,"F","College","Single","$40K - $60K",2,17304,1756,33
778493808,49,"M","High School","Married","$60K - $80K",2,3906,1756,32
720572508,38,"F","Graduate","Single","Unknown",3,9830,1042,23
712661433,49,"M","Uneducated","Single","$80K - $120K",2,34516,1444,28
789172683,56,"M","Doctorate","Married","$60K - $80K",2,2283,1741,27
738406533,59,"M","Doctorate","Married","$40K - $60K",2,2548,1719,27
799723908,46,"M","High School","Married","$80K - $120K",3,19458,1217,27
771490833,52,"M","College","Single","$80K - $120K",1,4745,1140,40
720756708,52,"F","Unknown","Married","Less than $40K",3,2622,1878,30
779471883,54,"F","Graduate","Married","Less than $40K",3,1438.3,705,19
711525033,66,"F","High School","Married","Less than $40K",4,3171,1946,38
712813458,49,"M","Unknown","Married","$120K +",2,19763,1414,35
714374133,56,"M","Graduate","Married","$120K +",3,15769,602,15
717891558,49,"F","Graduate","Unknown","Less than $40K",4,3298,1052,32
716632758,49,"F","Graduate","Single","Less than $40K",2,2802,1295,40
768563658,56,"M","Uneducated","Married","$40K - $60K",2,4458,1424,29
711427458,44,"F","Graduate","Married","Unknown",1,6273,1359,25
714091983,42,"M","High School","Single","$60K - $80K",4,3336,1168,27
787584108,55,"M","Unknown","Married","$80K - $120K",2,3436,1097,33
712030833,48,"M","Graduate","Married","$60K - $80K",4,34516,691,15
711481533,39,"M","High School","Divorced","$60K - $80K",3,5926,1316,28
710082708,44,"M","Post-Graduate","Single","$120K +",4,23957,1276,26
708155733,53,"M","High School","Single","$120K +",2,14734,1289,23
788979258,51,"M","Uneducated","Single","$80K - $120K",1,34516,1293,32
807986133,57,"M","College","Married","$60K - $80K",3,6584,1353,35
788730933,44,"F","Uneducated","Single","Less than $40K",3,2084,1132,28
711314058,49,"M","Graduate","Married","$60K - $80K",2,1687,1670,17
717975333,50,"M","Doctorate","Married","$80K - $120K",2,25300,837,15
715971108,51,"M","Graduate","Single","$120K +",2,34516,1550,41
720096558,55,"F","Graduate","Married","Less than $40K",3,2216,1540,36
719580033,54,"M","Graduate","Unknown","$60K - $80K",2,2910,1256,21
820582308,42,"M","Uneducated","Married","$80K - $120K",2,22913,1394,35
789973308,44,"M","College","Single","$60K - $80K",3,24312,1341,24
712876233,53,"M","Graduate","Single","$80K - $120K",3,5272,1289,33
804595158,44,"F","Graduate","Single","Less than $40K",4,7000,1112,23
714826758,37,"F","Uneducated","Single","Less than $40K",4,7038,2339,57
779058108,49,"M","Graduate","Divorced","$60K - $80K",1,2536,1468,23
710790258,47,"M","Graduate","Married","$80K - $120K",3,28904,1334,35
715623483,47,"M","Graduate","Married","$60K - $80K",4,8567,1457,41
715156383,44,"M","Unknown","Unknown","$120K +",2,34516,1603,29
711013983,55,"F","Unknown","Married","$40K - $60K",4,2158,615,12
755420433,59,"F","Graduate","Married","Unknown",3,10133,1068,20
794543958,53,"M","Graduate","Divorced","$80K - $120K",4,34516,1590,27
716396358,52,"M","Graduate","Married","$60K - $80K",3,3085,1531,35
715398033,53,"M","High School","Single","$120K +",2,19040,1212,31
711743883,43,"F","Uneducated","Single","Less than $40K",2,4026,1237,32
719720058,44,"M","High School","Single","$60K - $80K",3,12756,1413,14
778992108,57,"M","Unknown","Married","$120K +",3,5266,1516,29
717539808,51,"F","High School","Single","Less than $40K",2,9930,1276,21
714070758,49,"M","High School","Single","$80K - $120K",3,31302,1564,35
714107958,45,"M","Graduate","Single","$40K - $60K",4,6576,1465,34
789140283,53,"M","Graduate","Single","$80K - $120K",4,2664,1286,29
715550508,45,"F","Unknown","Married","Unknown",1,2535,1312,20
719712633,64,"M","Graduate","Married","Less than $40K",4,1709,1673,32
772629333,45,"M","Graduate","Married","$40K - $60K",4,3454,1313,30
720336708,53,"M","Doctorate","Married","$40K - $60K",3,3789,1609,42
802013583,56,"M","College","Married","$120K +",2,9689,1158,19
711887583,47,"M","Unknown","Married","$80K - $120K",3,5449,836,18
714778833,49,"F","College","Single","Unknown",4,23032,1289,22
713843283,41,"F","Unknown","Married","Unknown",3,34516,1487,26
779155158,53,"M","Graduate","Married","$120K +",2,2940,1259,33
721091583,44,"F","Graduate","Single","Less than $40K",3,3031,1298,15
713572683,44,"M","High School","Unknown","$60K - $80K",3,1862,1226,34
716657058,43,"F","Post-Graduate","Married","Less than $40K",3,8358,1566,37
779509983,53,"M","Post-Graduate","Single","$120K +",1,34516,1022,21
717929133,44,"M","Uneducated","Married","$60K - $80K",2,14450,1235,30
808284783,62,"F","Unknown","Married","Less than $40K",0,1438.3,1951,44
708476808,54,"M","Unknown","Divorced","$120K +",3,33791,1047,31
710916408,57,"M","Graduate","Married","$60K - $80K",3,8466,1342,32
708492558,42,"M","Unknown","Married","$60K - $80K",3,15088,1107,21
799825758,42,"M","High School","Divorced","$60K - $80K",1,3263,1251,35
718619883,54,"F","Uneducated","Married","Less than $40K",2,1494,1305,24
711844758,48,"M","Graduate","Single","$80K - $120K",1,13551,1388,37
714798783,49,"M","Graduate","Single","$80K - $120K",2,18886,1235,18
826762908,52,"M","High School","Unknown","$80K - $120K",2,11976,2089,36
771894558,50,"M","High School","Single","$80K - $120K",1,9964,1626,25
721074183,49,"M","Doctorate","Married","$60K - $80K",6,24159,1111,24
715259583,53,"F","High School","Married","Less than $40K",2,5362,1553,38
718414008,50,"M","Graduate","Single","$120K +",2,34516,1064,13
719666283,55,"F","Doctorate","Married","Less than $40K",1,3174,1243,29
714877233,53,"M","High School","Married","$80K - $120K",2,12262,1659,38
785387883,47,"F","High School","Single","$40K - $60K",3,3788,1594,47
771075258,55,"M","College","Single","$120K +",3,34516,1268,42
711318033,47,"M","Graduate","Single","$60K - $80K",2,2926,1304,24
783554958,58,"M","Graduate","Single","$120K +",1,32090,1368,30
720201033,53,"M","Graduate","Married","$80K - $120K",3,11669,720,23
718039683,52,"M","High School","Single","$40K - $60K",1,13532,1521,29
710806083,50,"F","Uneducated","Unknown","Less than $40K",2,11888,1137,30
714752208,42,"F","Graduate","Married","Less than $40K",1,2393,978,16
822063408,43,"M","Unknown","Married","$40K - $60K",1,6111,1221,16
714490308,57,"M","Graduate","Married","$80K - $120K",2,19270,1565,28
713356833,52,"M","Graduate","Married","$80K - $120K",1,3710,1578,34
711402333,47,"M","Doctorate","Single","Less than $40K",1,3235,1493,32
708296883,44,"F","Graduate","Single","$40K - $60K",1,11749,1178,27
719154483,53,"M","High School","Divorced","$60K - $80K",3,7753,991,26
717721458,45,"M","College","Divorced","$60K - $80K",1,10408,2560,42
711112683,63,"F","College","Married","Unknown",2,3967,1657,29
715674483,39,"F","Post-Graduate","Single","Less than $40K",2,6205,1204,19
789322833,48,"F","High School","Married","Less than $40K",3,8025,673,18
789968058,51,"M","Unknown","Single","$120K +",2,9036,1131,18
709919283,54,"M","Graduate","Married","$80K - $120K",3,14926,1576,25
718744008,59,"F","Graduate","Single","Less than $40K",2,6335,1217,20
767712558,59,"M","College","Single","$60K - $80K",3,14979,530,10
712950783,48,"F","Uneducated","Married","Less than $40K",2,2732,739,16
716104983,41,"F","Graduate","Single","Less than $40K",3,2250,1617,31
818839983,55,"M","Graduate","Married","$120K +",2,10916,1592,34
772288758,47,"F","Graduate","Married","Unknown",1,5349,1343,30
712350858,41,"M","High School","Married","$80K - $120K",1,9366,1303,39
711009708,40,"M","High School","Single","$80K - $120K",1,21617,1351,22
712720158,68,"M","Graduate","Married","Unknown",2,13860,1910,32
712215258,50,"F","Graduate","Single","$40K - $60K",2,18386,1298,22
773827008,47,"M","Uneducated","Single","$60K - $80K",2,2405,1087,29
795232683,53,"F","College","Married","Less than $40K",2,2154,1439,26
713786508,42,"F","Unknown","Married","$40K - $60K",3,2038,1238,28
713539833,48,"F","High School","Single","$40K - $60K",1,8135,1716,29
712454058,49,"M","Doctorate","Married","$120K +",1,9364,1099,27
718759833,44,"F","Uneducated","Married","Unknown",3,32643,1058,24
718803333,43,"F","Graduate","Divorced","Less than $40K",3,3195,1285,29
720253908,56,"M","High School","Married","$80K - $120K",2,2852,1651,28
714133158,59,"F","College","Single","Unknown",3,4224,1152,31
713187033,46,"M","Uneducated","Married","$60K - $80K",2,20459,1767,38
714791208,47,"F","Unknown","Divorced","Less than $40K",5,3482,1039,24
772426383,50,"F","Uneducated","Married","$40K - $60K",2,3065,1130,28
710975883,51,"F","Uneducated","Married","Less than $40K",1,2185,1645,30
714264408,47,"F","Uneducated","Married","Less than $40K",1,1611,1413,29
715827858,58,"F","Uneducated","Married","Less than $40K",3,2822,1218,23
713741358,46,"M","Graduate","Single","$80K - $120K",3,32975,597,17
709531908,53,"M","High School","Married","$60K - $80K",2,1438.3,2184,53
716493408,45,"F","Uneducated","Divorced","Unknown",3,15875,1592,37
714141108,52,"F","High School","Married","Less than $40K",3,6703,1388,28
708953883,53,"M","Unknown","Married","$80K - $120K",2,3212,757,20
712608783,50,"M","High School","Married","$80K - $120K",1,34516,1504,34
820353558,41,"F","High School","Married","$40K - $60K",1,9797,1503,34
714964758,45,"F","Graduate","Divorced","$40K - $60K",2,10400,1105,28
716264358,53,"M","Uneducated","Married","$80K - $120K",1,26792,2398,47
717296808,67,"F","Graduate","Married","Less than $40K",3,3006,1661,32
712977183,57,"F","Uneducated","Single","$40K - $60K",3,19482,1421,22
710829108,59,"F","Uneducated","Married","$40K - $60K",2,3356,999,28
779562633,45,"M","Uneducated","Married","$40K - $60K",2,5771,1387,18
715315833,51,"M","Graduate","Married","$80K - $120K",2,11106,1243,24
815500983,59,"F","Uneducated","Married","Less than $40K",3,2890,1860,36
719360583,53,"M","Graduate","Married","$60K - $80K",2,3380,1502,25
709701558,47,"M","Graduate","Married","$60K - $80K",1,21331,1460,50
721148358,49,"F","Uneducated","Single","Unknown",2,12860,1348,27
779862408,49,"M","Post-Graduate","Single","$80K - $120K",1,6278,1087,33
812627208,60,"F","College","Single","Less than $40K",1,1438.3,1226,33
711033408,50,"F","High School","Married","Less than $40K",1,9355,1230,28
779956608,41,"F","Post-Graduate","Married","Unknown",1,20758,1555,32
780376683,57,"M","Graduate","Married","$80K - $120K",3,14612,1827,24
717912483,43,"M","Graduate","Unknown","$80K - $120K",2,27259,1376,35
714454758,57,"F","Graduate","Married","Less than $40K",2,6347,1771,37
780466533,54,"M","Doctorate","Married","$120K +",3,21592,1873,52
715735233,51,"F","Post-Graduate","Married","Less than $40K",1,3449,1679,42
720476733,47,"F","High School","Married","Less than $40K",1,6028,1002,22
715872333,41,"M","High School","Unknown","$120K +",2,18214,1344,21
712375758,53,"M","Uneducated","Married","$80K - $120K",3,16393,1461,42
708868233,68,"M","High School","Married","Less than $40K",3,1438.3,760,21
718030083,59,"M","College","Married","$60K - $80K",1,7871,1428,22
720707283,48,"M","Unknown","Married","$80K - $120K",3,5288,1777,42
771698658,44,"M","Graduate","Married","$60K - $80K",5,11376,1302,27
748326258,48,"M","College","Married","$80K - $120K",5,12302,1483,41
770817783,47,"M","Graduate","Married","$60K - $80K",2,34516,1060,27
779353083,47,"M","Graduate","Married","$60K - $80K",2,34516,1330,32
711441333,43,"F","High School","Divorced","Less than $40K",2,10514,1229,27
719808558,55,"F","Graduate","Married","Less than $40K",4,1438.3,886,27
711551958,59,"M","Post-Graduate","Married","$60K - $80K",3,1438.3,844,24
809164083,63,"M","Graduate","Married","$40K - $60K",1,2619,1450,37
820596183,58,"M","College","Married","$120K +",3,24407,2311,48
715999608,53,"F","High School","Married","Less than $40K",1,2377,1378,26
710565408,59,"M","Unknown","Unknown","$80K - $120K",2,34516,1033,26
805543158,52,"M","Graduate","Married","$120K +",3,11086,1523,40
709752183,48,"M","High School","Single","$60K - $80K",2,11432,1374,37
716479233,43,"M","High School","Married","$40K - $60K",3,13258,1080,21
713837058,48,"M","College","Single","Less than $40K",2,2571,1234,24
718876683,43,"F","Graduate","Single","Less than $40K",2,5781,1600,32
770746908,44,"M","Unknown","Married","$60K - $80K",1,7872,1155,32
794843883,41,"M","High School","Married","$80K - $120K",1,34516,1353,33
803043933,44,"F","Uneducated","Divorced","Less than $40K",1,11127,1546,25
758076408,50,"M","Unknown","Single","$40K - $60K",1,1857,1590,43
714606558,60,"F","Uneducated","Married","Less than $40K",1,1913,1448,22
778425408,44,"M","Graduate","Single","$80K - $120K",3,3839,1271,24
714171108,48,"F","Graduate","Divorced","$40K - $60K",2,2115,1223,20
719662458,44,"F","Graduate","Divorced","Less than $40K",2,1438.3,1117,29
713137233,41,"M","High School","Single","$80K - $120K",3,27756,994,24
769425858,45,"M","College","Single","$60K - $80K",1,1438.3,1468,26
711297483,47,"F","Uneducated","Divorced","Less than $40K",4,13878,1658,38
788900883,51,"F","Graduate","Married","Less than $40K",1,3106,1368,38
758348808,51,"M","Graduate","Married","$120K +",3,34516,1218,18
772336458,60,"F","Uneducated","Married","$40K - $60K",4,1438.3,702,12
708711483,57,"M","Unknown","Married","$80K - $120K",3,18871,1516,21
717906783,41,"M","Graduate","Single","$120K +",2,5207,1310,26
719437908,44,"M","Post-Graduate","Divorced","$80K - $120K",2,17965,1767,50
769433508,43,"M","College","Single","$60K - $80K",3,2733,933,25
790096533,55,"M","College","Married","$60K - $80K",3,8863,1512,27
720997383,52,"M","Uneducated","Married","$80K - $120K",3,1857,829,17
787541883,44,"M","Graduate","Unknown","$80K - $120K",3,34516,1120,27
709930758,41,"M","Uneducated","Married","$40K - $60K",3,11107,1506,33
789830058,44,"M","Unknown","Single","$80K - $120K",1,21573,1384,36
710299608,53,"F","Unknown","Married","Less than $40K",3,2859,817,30
710741208,39,"M","High School","Single","$80K - $120K",2,5269,2094,25
821797008,49,"M","College","Married","$40K - $60K",2,1438.3,815,21
708874533,45,"F","College","Married","Less than $40K",3,3387,510,24
715341858,54,"M","Graduate","Married","$80K - $120K",2,1982,1377,49
793636308,49,"M","Uneducated","Single","$80K - $120K",2,4645,1193,33
713779908,46,"F","Doctorate","Single","Unknown",3,2189,1287,36
712125258,46,"M","High School","Married","$120K +",3,2442,701,19
709703433,47,"M","Graduate","Married","$60K - $80K",1,21304,1770,25
721022433,44,"M","Doctorate","Single","$60K - $80K",1,7577,1409,35
710103558,50,"M","Post-Graduate","Single","$120K +",1,3234,1354,28
715952883,73,"M","High School","Married","$40K - $60K",3,4469,1765,34
719731458,56,"M","Unknown","Unknown","$40K - $60K",3,2910,1192,27
772390908,59,"M","High School","Single","$40K - $60K",4,3616,687,17
787348608,70,"M","High School","Married","Less than $40K",2,3252,1227,15
709485033,55,"F","High School","Married","Less than $40K",3,2358,1737,26
715432608,43,"M","Unknown","Single","$60K - $80K",1,22322,1348,34
799471833,45,"M","Uneducated","Single","$120K +",2,3133,1435,38
714187533,45,"F","Uneducated","Single","$40K - $60K",3,3540,1321,28
779656908,40,"M","Graduate","Married","$40K - $60K",3,6990,1479,29
788950158,36,"M","College","Unknown","$80K - $120K",2,34516,1283,39
778867533,59,"F","Post-Graduate","Married","$40K - $60K",4,1438.3,689,23
710620383,43,"M","Unknown","Married","$60K - $80K",3,24396,965,17
778661358,46,"F","Unknown","Married","Less than $40K",3,2474,1541,40
789483333,41,"M","Uneducated","Married","$40K - $60K",1,5214,1258,23
809855808,51,"F","Graduate","Married","Less than $40K",2,5207,1339,20
718464258,51,"F","Unknown","Unknown","Less than $40K",2,9512,1007,22
708528483,43,"F","Graduate","Divorced","Unknown",3,3187,1387,33
771809733,64,"F","High School","Married","$40K - $60K",3,3353,960,18
719942883,54,"M","Graduate","Married","$60K - $80K",3,2290,1119,18
807226683,48,"M","Unknown","Single","$40K - $60K",1,5279,1642,41
717806133,40,"M","Uneducated","Divorced","$60K - $80K",3,23603,1382,31
720615708,57,"M","Uneducated","Married","$40K - $60K",2,2601,1232,32
714511758,45,"M","Graduate","Single","$80K - $120K",3,6363,1542,16
715050408,41,"M","High School","Single","$80K - $120K",3,8029,1094,32
721132233,42,"F","Uneducated","Married","Less than $40K",2,2410,1217,30
719211558,45,"M","Graduate","Single","$60K - $80K",1,3401,744,18
712069008,42,"F","Uneducated","Married","Less than $40K",2,2260,1614,33
715996983,47,"M","Uneducated","Divorced","$80K - $120K",2,17682,1747,31
773466258,48,"F","High School","Married","$40K - $60K",1,4206,1144,22
798983508,43,"M","Graduate","Single","$80K - $120K",3,34516,1575,34
719117433,41,"M","High School","Unknown","$80K - $120K",3,23018,1463,24
716451183,54,"F","Uneducated","Married","$40K - $60K",2,5556,1706,21
718621608,54,"F","High School","Married","Unknown",3,6094,909,14
715085733,61,"M","Graduate","Married","$40K - $60K",1,2939,2434,33
788977833,61,"M","Uneducated","Married","$80K - $120K",1,5362,1876,41
720272958,48,"M","High School","Married","$120K +",3,27126,1000,25
708421833,45,"F","Graduate","Single","Less than $40K",3,3342,1139,30
709173108,54,"F","Graduate","Married","Unknown",2,2532,799,21
709879458,54,"F","Doctorate","Married","Unknown",2,1900,1881,45
715120608,44,"M","Graduate","Single","$60K - $80K",3,14546,1273,27
770632758,50,"F","Doctorate","Single","Unknown",3,2521,1328,33
779078733,55,"M","Doctorate","Married","$60K - $80K",4,16427,1579,36
771742533,48,"M","Graduate","Unknown","$40K - $60K",1,13068,937,28
720250158,45,"M","College","Single","$60K - $80K",3,23218,1749,37
716458983,60,"M","High School","Married","$40K - $60K",1,3281,1424,29
713747733,55,"M","High School","Married","$40K - $60K",3,3096,2011,41
712270158,62,"F","High School","Married","$40K - $60K",2,2052,1208,31
789562383,38,"F","High School","Unknown","Less than $40K",3,1438.3,1259,24
754897008,46,"M","High School","Single","$40K - $60K",3,9432,1319,26
819700533,50,"M","High School","Single","$120K +",2,14938,949,27
712890408,45,"M","Uneducated","Married","$60K - $80K",3,2221,1338,30
720248208,47,"M","Post-Graduate","Divorced","$60K - $80K",3,5731,1554,26
779749908,48,"M","College","Married","$60K - $80K",2,34516,1350,32
717401883,35,"M","Uneducated","Married","$60K - $80K",2,6985,1694,44
721509558,51,"M","Graduate","Married","$120K +",3,24221,1678,40
710572458,36,"F","High School","Married","Unknown",1,15439,2069,43
714576183,47,"M","Graduate","Single","$80K - $120K",3,21637,1222,23
721425558,52,"M","Graduate","Single","$120K +",3,14543,1536,37
711109908,43,"F","Uneducated","Married","Less than $40K",1,9684,1400,31
715203108,63,"M","High School","Married","$40K - $60K",2,5007,1050,28
710027508,61,"M","Graduate","Married","$60K - $80K",2,1616,1389,33
787464408,53,"M","Uneducated","Single","$60K - $80K",2,19116,1184,29
783542133,53,"F","Graduate","Married","Less than $40K",6,2759,2093,42
708330858,57,"M","Graduate","Married","$120K +",3,8249,678,11
714426783,38,"F","Graduate","Single","Unknown",3,14041,1467,29
712701333,53,"M","High School","Married","$60K - $80K",3,5264,1219,27
709494483,63,"F","Unknown","Married","Less than $40K",2,2420,1730,36
773373108,49,"F","High School","Married","Less than $40K",2,2826,1025,28
715812258,45,"M","High School","Married","$80K - $120K",5,12518,1165,33
778286433,67,"M","Graduate","Married","$40K - $60K",2,5876,2133,55
789270033,48,"M","Graduate","Single","$80K - $120K",2,34516,1122,13
711569433,51,"F","Uneducated","Divorced","Less than $40K",1,9648,1083,22
720214833,52,"M","High School","Single","$80K - $120K",3,34516,1234,23
709346133,55,"F","Uneducated","Married","Unknown",3,3025,1277,23
788194458,34,"M","High School","Married","$60K - $80K",3,3265,1843,35
720779733,56,"M","Uneducated","Married","$120K +",2,6041,1747,49
717424458,44,"F","Post-Graduate","Married","Less than $40K",3,2293,1166,22
708820308,47,"M","Post-Graduate","Unknown","$80K - $120K",2,13399,1326,31
710558058,46,"F","Unknown","Married","Less than $40K",3,4317,1619,36
770590758,43,"F","Graduate","Single","$40K - $60K",2,3378,1285,16
718490658,50,"F","Graduate","Single","Less than $40K",1,5012,1142,28
711985833,38,"F","Uneducated","Single","Less than $40K",1,2569,1190,46
708967608,53,"F","Graduate","Single","Less than $40K",1,3471,1052,24
718505958,43,"M","Graduate","Divorced","$120K +",3,34516,1628,38
715024233,53,"M","High School","Married","$120K +",3,3312,1740,32
779249583,56,"F","Graduate","Married","Less than $40K",3,2578,1378,29
709278258,54,"M","Unknown","Married","$40K - $60K",3,2902,996,26
778928283,57,"F","High School","Married","Less than $40K",2,2742,1389,32
712299858,62,"M","High School","Married","Less than $40K",3,2077,1365,38
799224108,46,"F","Graduate","Single","Less than $40K",1,6265,1715,43
809976033,49,"M","Uneducated","Married","$60K - $80K",3,7819,1582,25
716203308,52,"M","Graduate","Single","$80K - $120K",3,2731,1220,22
714871683,58,"M","Uneducated","Married","$40K - $60K",4,1438.3,715,13
716139933,54,"M","High School","Married","$80K - $120K",1,16286,2552,49
716984658,49,"M","Graduate","Married","$120K +",2,34516,1106,31
713086008,58,"F","High School","Married","Less than $40K",1,2609,1731,34
713773458,52,"M","High School","Single","$60K - $80K",3,7567,1435,32
719242533,41,"M","High School","Married","$60K - $80K",3,22770,1882,38
772712658,62,"F","Uneducated","Married","Less than $40K",1,3791,2058,34
788868858,54,"M","Graduate","Married","Less than $40K",4,2702,1658,32
811898133,40,"F","High School","Divorced","Less than $40K",1,2555,1334,32
788808633,43,"M","Graduate","Married","$80K - $120K",3,2355,1441,29
779804208,53,"F","Graduate","Single","$40K - $60K",2,5332,1371,39
781391058,55,"M","Uneducated","Single","$40K - $60K",3,1443,1991,38
790134408,46,"M","Graduate","Single","$60K - $80K",2,10741,1278,22
788853258,41,"M","Uneducated","Married","$60K - $80K",2,7984,1734,39
711857733,49,"M","Uneducated","Single","$60K - $80K",2,18584,1330,34
822969858,61,"F","Graduate","Married","Unknown",1,5585,1787,31
719554758,46,"M","Uneducated","Married","$80K - $120K",3,34516,1672,32
711643458,50,"F","Uneducated","Married","Less than $40K",3,1438.3,1439,41
788830683,40,"M","Graduate","Single","$80K - $120K",1,2478,1558,31
807030858,51,"M","High School","Single","$120K +",3,34516,1795,47
793059108,50,"F","Graduate","Married","$40K - $60K",2,2339,893,22
716568708,47,"F","Graduate","Married","Less than $40K",3,2726,1099,27
828281733,43,"M","Unknown","Married","$120K +",3,14881,1408,23
717229158,36,"F","Graduate","Married","$40K - $60K",3,1628,1893,15
715915458,47,"F","Graduate","Married","Less than $40K",2,3156,1151,31
819129858,46,"F","Graduate","Single","Less than $40K",3,4745,1519,31
713441958,46,"M","High School","Married","$120K +",3,19727,1245,25
719091333,52,"M","Uneducated","Married","$60K - $80K",3,22720,1102,27
708666258,43,"M","Unknown","Married","$40K - $60K",3,8129,1402,33
714914583,40,"F","Graduate","Single","Less than $40K",2,3751,1060,30
714363858,54,"F","High School","Married","Less than $40K",5,1594,1459,35
721347408,55,"F","High School","Single","Less than $40K",2,2569,1456,39
809608533,49,"F","Post-Graduate","Single","Unknown",3,18206,1439,48
772047183,45,"M","High School","Married","$40K - $60K",3,3104,1353,24
714217908,49,"M","Graduate","Married","$40K - $60K",3,2406,1173,32
714819183,63,"M","Uneducated","Married","$80K - $120K",2,24571,1746,28
716455683,40,"F","High School","Single","Less than $40K",2,15534,1279,28
710865633,41,"F","Graduate","Married","Less than $40K",2,12301,1307,29
752952108,37,"M","Graduate","Married","$80K - $120K",2,2846,1473,37
712595433,58,"M","Uneducated","Unknown","$120K +",2,9788,1805,37
714982383,55,"M","High School","Married","$60K - $80K",3,7231,1421,23
813814008,53,"F","High School","Married","Less than $40K",3,2324,1272,37
794545983,57,"M","Graduate","Married","$80K - $120K",2,12208,1409,34
708288108,43,"M","Post-Graduate","Unknown","$80K - $120K",5,5639,647,15
715585158,58,"M","Graduate","Married","$60K - $80K",3,10021,1275,25
810449883,64,"M","Unknown","Married","Less than $40K",1,2215,1270,27
789863208,54,"F","Graduate","Married","Less than $40K",2,2027,1702,37
715022133,53,"M","Graduate","Married","$60K - $80K",2,6363,1256,26
712506708,39,"F","College","Single","Less than $40K",1,3920,3178,53
715699983,56,"M","High School","Married","$60K - $80K",1,9226,1626,29
818942433,54,"F","Unknown","Divorced","Less than $40K",1,9376,1562,33
712459233,59,"F","Post-Graduate","Married","$40K - $60K",3,1944,1960,57
716545383,42,"M","Uneducated","Single","$40K - $60K",1,9599,1154,38
721144383,42,"M","Graduate","Married","$60K - $80K",1,28202,1629,38
821837958,43,"M","College","Unknown","$80K - $120K",3,24850,1226,25
804359133,55,"M","High School","Married","$120K +",3,3805,1743,27
713308683,52,"M","Uneducated","Single","$80K - $120K",2,2733,1139,39
788780958,46,"M","Uneducated","Unknown","$40K - $60K",3,12781,1073,21
717354558,57,"M","Uneducated","Married","$120K +",3,3106,683,17
798473808,48,"M","College","Married","$80K - $120K",3,7477,1159,32
712372158,45,"M","Unknown","Married","$120K +",1,34516,1859,47
715192308,48,"M","High School","Married","$120K +",5,29963,1205,28
