"CLIENTNUM","Customer_Age","Gender","Education_Level","Marital_Status","Income_Category","Months_Inactive_12_mon","Credit_Limit","Total_Trans_Amt","Total_Trans_Ct"
771490833,52,"M","College","Single","$80K - $120K",1,4745,1140,40
779471883,54,"F","Graduate","Married","Less than $40K",3,1438.3,705,19
711525033,66,"F","High School","Married","Less than $40K",4,3171,1946,38
714374133,56,"M","Graduate","Married","$120K +",3,15769,602,15
717891558,49,"F","Graduate","Unknown","Less than $40K",4,3298,1052,32
716632758,49,"F","Graduate","Single","Less than $40K",2,2802,1295,40
714091983,42,"M","High School","Single","$60K - $80K",4,3336,1168,27
712030833,48,"M","Graduate","Married","$60K - $80K",4,34516,691,15
711481533,39,"M","High School","Divorced","$60K - $80K",3,5926,1316,28
710082708,44,"M","Post-Graduate","Single","$120K +",4,23957,1276,26
708155733,53,"M","High School","Single","$120K +",2,14734,1289,23
807986133,57,"M","College","Married","$60K - $80K",3,6584,1353,35
711314058,49,"M","Graduate","Married","$60K - $80K",2,1687,1670,17
717975333,50,"M","Doctorate","Married","$80K - $120K",2,25300,837,15
715971108,51,"M","Graduate","Single","$120K +",2,34516,1550,41
720096558,55,"F","Graduate","Married","Less than $40K",3,2216,1540,36
719580033,54,"M","Graduate","Unknown","$60K - $80K",2,2910,1256,21
789973308,44,"M","College","Single","$60K - $80K",3,24312,1341,24
712876233,53,"M","Graduate","Single","$80K - $120K",3,5272,1289,33
804595158,44,"F","Graduate","Single","Less than $40K",4,7000,1112,23
779058108,49,"M","Graduate","Divorced","$60K - $80K",1,2536,1468,23
710790258,47,"M","Graduate","Married","$80K - $120K",3,28904,1334,35
715623483,47,"M","Graduate","Married","$60K - $80K",4,8567,1457,41
794543958,53,"M","Graduate","Divorced","$80K - $120K",4,34516,1590,27
716396358,52,"M","Graduate","Married","$60K - $80K",3,3085,1531,35
715398033,53,"M","High School","Single","$120K +",2,19040,1212,31
719720058,44,"M","High School","Single","$60K - $80K",3,12756,1413,14
717539808,51,"F","High School","Single","Less than $40K",2,9930,1276,21
714070758,49,"M","High School","Single","$80K - $120K",3,31302,1564,35
714107958,45,"M","Graduate","Single","$40K - $60K",4,6576,1465,34
789140283,53,"M","Graduate","Single","$80K - $120K",4,2664,1286,29
719712633,64,"M","Graduate","Married","Less than $40K",4,1709,1673,32
772629333,45,"M","Graduate","Married","$40K - $60K",4,3454,1313,30
720336708,53,"M","Doctorate","Married","$40K - $60K",3,3789,1609,42
802013583,56,"M","College","Married","$120K +",2,9689,1158,19
779155158,53,"M","Graduate","Married","$120K +",2,2940,1259,33
721091583,44,"F","Graduate","Single","Less than $40K",3,3031,1298,15
713572683,44,"M","High School","Unknown","$60K - $80K",3,1862,1226,34
716657058,43,"F","Post-Graduate","Married","Less than $40K",3,8358,1566,37
779509983,53,"M","Post-Graduate","Single","$120K +",1,34516,1022,21
710916408,57,"M","Graduate","Married","$60K - $80K",3,8466,1342,32
799825758,42,"M","High School","Divorced","$60K - $80K",1,3263,1251,35
711844758,48,"M","Graduate","Single","$80K - $120K",1,13551,1388,37
714798783,49,"M","Graduate","Single","$80K - $120K",2,18886,1235,18
826762908,52,"M","High School","Unknown","$80K - $120K",2,11976,2089,36
771894558,50,"M","High School","Single","$80K - $120K",1,9964,1626,25
721074183,49,"M","Doctorate","Married","$60K - $80K",6,24159,1111,24
715259583,53,"F","High School","Married","Less than $40K",2,5362,1553,38
718414008,50,"M","Graduate","Single","$120K +",2,34516,1064,13
719666283,55,"F","Doctorate","Married","Less than $40K",1,3174,1243,29
714877233,53,"M","High School","Married","$80K - $120K",2,12262,1659,38
785387883,47,"F","High School","Single","$40K - $60K",3,3788,1594,47
771075258,55,"M","College","Single","$120K +",3,34516,1268,42
711318033,47,"M","Graduate","Single","$60K - $80K",2,2926,1304,24
783554958,58,"M","Graduate","Single","$120K +",1,32090,1368,30
720201033,53,"M","Graduate","Married","$80K - $120K",3,11669,720,23
718039683,52,"M","High School","Single","$40K - $60K",1,13532,1521,29
714752208,42,"F","Graduate","Married","Less than $40K",1,2393,978,16
714490308,57,"M","Graduate","Married","$80K - $120K",2,19270,1565,28
713356833,52,"M","Graduate","Married","$80K - $120K",1,3710,1578,34
711402333,47,"M","Doctorate","Single","Less than $40K",1,3235,1493,32
708296883,44,"F","Graduate","Single","$40K - $60K",1,11749,1178,27
719154483,53,"M","High School","Divorced","$60K - $80K",3,7753,991,26
717721458,45,"M","College","Divorced","$60K - $80K",1,10408,2560,42
715674483,39,"F","Post-Graduate","Single","Less than $40K",2,6205,1204,19
789322833,48,"F","High School","Married","Less than $40K",3,8025,673,18
709919283,54,"M","Graduate","Married","$80K - $120K",3,14926,1576,25
718744008,59,"F","Graduate","Single","Less than $40K",2,6335,1217,20
767712558,59,"M","College","Single","$60K - $80K",3,14979,530,10
716104983,41,"F","Graduate","Single","Less than $40K",3,2250,1617,31
818839983,55,"M","Graduate","Married","$120K +",2,10916,1592,34
712350858,41,"M","High School","Married","$80K - $120K",1,9366,1303,39
711009708,40,"M","High School","Single","$80K - $120K",1,21617,1351,22
712215258,50,"F","Graduate","Single","$40K - $60K",2,18386,1298,22
795232683,53,"F","College","Married","Less than $40K",2,2154,1439,26
713539833,48,"F","High School","Single","$40K - $60K",1,8135,1716,29
712454058,49,"M","Doctorate","Married","$120K +",1,9364,1099,27
718803333,43,"F","Graduate","Divorced","Less than $40K",3,3195,1285,29
720253908,56,"M","High School","Married","$80K - $120K",2,2852,1651,28
713741358,46,"M","Graduate","Single","$80K - $120K",3,32975,597,17
709531908,53,"M","High School","Married","$60K - $80K",2,1438.3,2184,53
714141108,52,"F","High School","Married","Less than $40K",3,6703,1388,28
712608783,50,"M","High School","Married","$80K - $120K",1,34516,1504,34
820353558,41,"F","High School","Married","$40K - $60K",1,9797,1503,34
714964758,45,"F","Graduate","Divorced","$40K - $60K",2,10400,1105,28
717296808,67,"F","Graduate","Married","Less than $40K",3,3006,1661,32
715315833,51,"M","Graduate","Married","$80K - $120K",2,11106,1243,24
719360583,53,"M","Graduate","Married","$60K - $80K",2,3380,1502,25
709701558,47,"M","Graduate","Married","$60K - $80K",1,21331,1460,50
779862408,49,"M","Post-Graduate","Single","$80K - $120K",1,6278,1087,33
812627208,60,"F","College","Single","Less than $40K",1,1438.3,1226,33
711033408,50,"F","High School","Married","Less than $40K",1,9355,1230,28
780376683,57,"M","Graduate","Married","$80K - $120K",3,14612,1827,24
717912483,43,"M","Graduate","Unknown","$80K - $120K",2,27259,1376,35
714454758,57,"F","Graduate","Married","Less than $40K",2,6347,1771,37
780466533,54,"M","Doctorate","Married","$120K +",3,21592,1873,52
715735233,51,"F","Post-Graduate","Married","Less than $40K",1,3449,1679,42
720476733,47,"F","High School","Married","Less than $40K",1,6028,1002,22
715872333,41,"M","High School","Unknown","$120K +",2,18214,1344,21
708868233,68,"M","High School","Married","Less than $40K",3,1438.3,760,21
718030083,59,"M","College","Married","$60K - $80K",1,7871,1428,22
771698658,44,"M","Graduate","Married","$60K - $80K",5,11376,1302,27
748326258,48,"M","College","Married","$80K - $120K",5,12302,1483,41
770817783,47,"M","Graduate","Married","$60K - $80K",2,34516,1060,27
779353083,47,"M","Graduate","Married","$60K - $80K",2,34516,1330,32
711441333,43,"F","High School","Divorced","Less than $40K",2,10514,1229,27
719808558,55,"F","Graduate","Married","Less than $40K",4,1438.3,886,27
711551958,59,"M","Post-Graduate","Married","$60K - $80K",3,1438.3,844,24
809164083,63,"M","Graduate","Married","$40K - $60K",1,2619,1450,37
820596183,58,"M","College","Married","$120K +",3,24407,2311,48
715999608,53,"F","High School","Married","Less than $40K",1,2377,1378,26
805543158,52,"M","Graduate","Married","$120K +",3,11086,1523,40
709752183,48,"M","High School","Single","$60K - $80K",2,11432,1374,37
716479233,43,"M","High School","Married","$40K - $60K",3,13258,1080,21
713837058,48,"M","College","Single","Less than $40K",2,2571,1234,24
718876683,43,"F","Graduate","Single","Less than $40K",2,5781,1600,32
794843883,41,"M","High School","Married","$80K - $120K",1,34516,1353,33
778425408,44,"M","Graduate","Single","$80K - $120K",3,3839,1271,24
714171108,48,"F","Graduate","Divorced","$40K - $60K",2,2115,1223,20
719662458,44,"F","Graduate","Divorced","Less than $40K",2,1438.3,1117,29
713137233,41,"M","High School","Single","$80K - $120K",3,27756,994,24
769425858,45,"M","College","Single","$60K - $80K",1,1438.3,1468,26
788900883,51,"F","Graduate","Married","Less than $40K",1,3106,1368,38
758348808,51,"M","Graduate","Married","$120K +",3,34516,1218,18
717906783,41,"M","Graduate","Single","$120K +",2,5207,1310,26
719437908,44,"M","Post-Graduate","Divorced","$80K - $120K",2,17965,1767,50
769433508,43,"M","College","Single","$60K - $80K",3,2733,933,25
790096533,55,"M","College","Married","$60K - $80K",3,8863,1512,27
787541883,44,"M","Graduate","Unknown","$80K - $120K",3,34516,1120,27
710741208,39,"M","High School","Single","$80K - $120K",2,5269,2094,25
821797008,49,"M","College","Married","$40K - $60K",2,1438.3,815,21
708874533,45,"F","College","Married","Less than $40K",3,3387,510,24
715341858,54,"M","Graduate","Married","$80K - $120K",2,1982,1377,49
712125258,46,"M","High School","Married","$120K +",3,2442,701,19
709703433,47,"M","Graduate","Married","$60K - $80K",1,21304,1770,25
721022433,44,"M","Doctorate","Single","$60K - $80K",1,7577,1409,35
710103558,50,"M","Post-Graduate","Single","$120K +",1,3234,1354,28
715952883,73,"M","High School","Married","$40K - $60K",3,4469,1765,34
772390908,59,"M","High School","Single","$40K - $60K",4,3616,687,17
787348608,70,"M","High School","Married","Less than $40K",2,3252,1227,15
709485033,55,"F","High School","Married","Less than $40K",3,2358,1737,26
779656908,40,"M","Graduate","Married","$40K - $60K",3,6990,1479,29
788950158,36,"M","College","Unknown","$80K - $120K",2,34516,1283,39
778867533,59,"F","Post-Graduate","Married","$40K - $60K",4,1438.3,689,23
809855808,51,"F","Graduate","Married","Less than $40K",2,5207,1339,20
771809733,64,"F","High School","Married","$40K - $60K",3,3353,960,18
719942883,54,"M","Graduate","Married","$60K - $80K",3,2290,1119,18
714511758,45,"M","Graduate","Single","$80K - $120K",3,6363,1542,16
715050408,41,"M","High School","Single","$80K - $120K",3,8029,1094,32
719211558,45,"M","Graduate","Single","$60K - $80K",1,3401,744,18
773466258,48,"F","High School","Married","$40K - $60K",1,4206,1144,22
798983508,43,"M","Graduate","Single","$80K - $120K",3,34516,1575,34
719117433,41,"M","High School","Unknown","$80K - $120K",3,23018,1463,24
715085733,61,"M","Graduate","Married","$40K - $60K",1,2939,2434,33
720272958,48,"M","High School","Married","$120K +",3,27126,1000,25
708421833,45,"F","Graduate","Single","Less than $40K",3,3342,1139,30
715120608,44,"M","Graduate","Single","$60K - $80K",3,14546,1273,27
779078733,55,"M","Doctorate","Married","$60K - $80K",4,16427,1579,36
771742533,48,"M","Graduate","Unknown","$40K - $60K",1,13068,937,28
720250158,45,"M","College","Single","$60K - $80K",3,23218,1749,37
716458983,60,"M","High School","Married","$40K - $60K",1,3281,1424,29
713747733,55,"M","High School","Married","$40K - $60K",3,3096,2011,41
712270158,62,"F","High School","Married","$40K - $60K",2,2052,1208,31
789562383,38,"F","High School","Unknown","Less than $40K",3,1438.3,1259,24
754897008,46,"M","High School","Single","$40K - $60K",3,9432,1319,26
819700533,50,"M","High School","Single","$120K +",2,14938,949,27
720248208,47,"M","Post-Graduate","Divorced","$60K - $80K",3,5731,1554,26
779749908,48,"M","College","Married","$60K - $80K",2,34516,1350,32
721509558,51,"M","Graduate","Married","$120K +",3,24221,1678,40
714576183,47,"M","Graduate","Single","$80K - $120K",3,21637,1222,23
721425558,52,"M","Graduate","Single","$120K +",3,14543,1536,37
715203108,63,"M","High School","Married","$40K - $60K",2,5007,1050,28
710027508,61,"M","Graduate","Married","$60K - $80K",2,1616,1389,33
783542133,53,"F","Graduate","Married","Less than $40K",6,2759,2093,42
708330858,57,"M","Graduate","Married","$120K +",3,8249,678,11
712701333,53,"M","High School","Married","$60K - $80K",3,5264,1219,27
773373108,49,"F","High School","Married","Less than $40K",2,2826,1025,28
715812258,45,"M","High School","Married","$80K - $120K",5,12518,1165,33
778286433,67,"M","Graduate","Married","$40K - $60K",2,5876,2133,55
789270033,48,"M","Graduate","Single","$80K - $120K",2,34516,1122,13
720214833,52,"M","High School","Single","$80K - $120K",3,34516,1234,23
788194458,34,"M","High School","Married","$60K - $80K",3,3265,1843,35
717424458,44,"F","Post-Graduate","Married","Less than $40K",3,2293,1166,22
708820308,47,"M","Post-Graduate","Unknown","$80K - $120K",2,13399,1326,31
770590758,43,"F","Graduate","Single","$40K - $60K",2,3378,1285,16
718490658,50,"F","Graduate","Single","Less than $40K",1,5012,1142,28
708967608,53,"F","Graduate","Single","Less than $40K",1,3471,1052,24
718505958,43,"M","Graduate","Divorced","$120K +",3,34516,1628,38
715024233,53,"M","High School","Married","$120K +",3,3312,1740,32
779249583,56,"F","Graduate","Married","Less than $40K",3,2578,1378,29
778928283,57,"F","High School","Married","Less than $40K",2,2742,1389,32
712299858,62,"M","High School","Married","Less than $40K",3,2077,1365,38
799224108,46,"F","Graduate","Single","Less than $40K",1,6265,1715,43
716203308,52,"M","Graduate","Single","$80K - $120K",3,2731,1220,22
716139933,54,"M","High School","Married","$80K - $120K",1,16286,2552,49
716984658,49,"M","Graduate","Married","$120K +",2,34516,1106,31
713086008,58,"F","High School","Married","Less than $40K",1,2609,1731,34
713773458,52,"M","High School","Single","$60K - $80K",3,7567,1435,32
719242533,41,"M","High School","Married","$60K - $80K",3,22770,1882,38
788868858,54,"M","Graduate","Married","Less than $40K",4,2702,1658,32
811898133,40,"F","High School","Divorced","Less than $40K",1,2555,1334,32
788808633,43,"M","Graduate","Married","$80K - $120K",3,2355,1441,29
779804208,53,"F","Graduate","Single","$40K - $60K",2,5332,1371,39
790134408,46,"M","Graduate","Single","$60K - $80K",2,10741,1278,22
788830683,40,"M","Graduate","Single","$80K - $120K",1,2478,1558,31
807030858,51,"M","High School","Single","$120K +",3,34516,1795,47
793059108,50,"F","Graduate","Married","$40K - $60K",2,2339,893,22
716568708,47,"F","Graduate","Married","Less than $40K",3,2726,1099,27
717229158,36,"F","Graduate","Married","$40K - $60K",3,1628,1893,15
715915458,47,"F","Graduate","Married","Less than $40K",2,3156,1151,31
819129858,46,"F","Graduate","Single","Less than $40K",3,4745,1519,31
713441958,46,"M","High School","Married","$120K +",3,19727,1245,25
714914583,40,"F","Graduate","Single","Less than $40K",2,3751,1060,30
714363858,54,"F","High School","Married","Less than $40K",5,1594,1459,35
721347408,55,"F","High School","Single","Less than $40K",2,2569,1456,39
772047183,45,"M","High School","Married","$40K - $60K",3,3104,1353,24
714217908,49,"M","Graduate","Married","$40K - $60K",3,2406,1173,32
716455683,40,"F","High School","Single","Less than $40K",2,15534,1279,28
710865633,41,"F","Graduate","Married","Less than $40K",2,12301,1307,29
752952108,37,"M","Graduate","Married","$80K - $120K",2,2846,1473,37
714982383,55,"M","High School","Married","$60K - $80K",3,7231,1421,23
813814008,53,"F","High School","Married","Less than $40K",3,2324,1272,37
794545983,57,"M","Graduate","Married","$80K - $120K",2,12208,1409,34
708288108,43,"M","Post-Graduate","Unknown","$80K - $120K",5,5639,647,15
715585158,58,"M","Graduate","Married","$60K - $80K",3,10021,1275,25
789863208,54,"F","Graduate","Married","Less than $40K",2,2027,1702,37
715022133,53,"M","Graduate","Married","$60K - $80K",2,6363,1256,26
712506708,39,"F","College","Single","Less than $40K",1,3920,3178,53
715699983,56,"M","High School","Married","$60K - $80K",1,9226,1626,29
712459233,59,"F","Post-Graduate","Married","$40K - $60K",3,1944,1960,57
721144383,42,"M","Graduate","Married","$60K - $80K",1,28202,1629,38
821837958,43,"M","College","Unknown","$80K - $120K",3,24850,1226,25
804359133,55,"M","High School","Married","$120K +",3,3805,1743,27
798473808,48,"M","College","Married","$80K - $120K",3,7477,1159,32
715192308,48,"M","High School","Married","$120K +",5,29963,1205,28
708813033,47,"M","Graduate","Single","$40K - $60K",3,6509,1409,37
714639783,42,"M","College","Married","$60K - $80K",3,13450,1000,18
709311633,41,"M","Graduate","Unknown","$60K - $80K",2,27000,1209,39
709470858,51,"M","College","Married","$120K +",2,34516,1366,25
717292758,55,"F","Graduate","Single","Less than $40K",3,6347,1161,44
715205358,39,"M","Graduate","Married","$60K - $80K",1,2536,1750,35
778871508,54,"M","Post-Graduate","Single","$60K - $80K",3,13048,1170,24
710147958,47,"M","High School","Married","$40K - $60K",2,16138,1198,33
709864833,49,"M","Post-Graduate","Married","$60K - $80K",2,8077,1329,26
778868958,42,"F","Graduate","Married","Less than $40K",3,1929,857,36
710940183,49,"F","Graduate","Married","Less than $40K",3,2185,715,20
718927533,45,"M","Graduate","Single","$80K - $120K",2,24487,1512,42
719337408,63,"M","High School","Married","$60K - $80K",2,2567,2399,43
772308408,44,"M","Graduate","Single","$80K - $120K",3,4131,906,22
712981383,44,"F","College","Married","Less than $40K",2,10790,1052,16
790099758,40,"M","High School","Married","$40K - $60K",3,6884,975,11
778770783,42,"M","High School","Married","$80K - $120K",1,29801,990,21
713134458,54,"M","High School","Married","$120K +",1,13219,1097,24
713639958,46,"F","Graduate","Divorced","Less than $40K",3,9478,1327,41
711089733,50,"F","College","Divorced","Less than $40K",3,1491,1058,34
716988633,55,"M","High School","Divorced","$60K - $80K",1,9734,1476,38
779031033,46,"F","Graduate","Married","$40K - $60K",1,2305,1230,36
721333233,40,"M","Doctorate","Divorced","$60K - $80K",2,23138,1612,39
814995933,58,"F","Graduate","Married","Less than $40K",3,5798,1724,45
721469433,48,"M","Graduate","Single","$40K - $60K",2,6880,1784,35
788386908,48,"M","Graduate","Unknown","$80K - $120K",2,34516,1156,29
717198633,53,"F","College","Married","$40K - $60K",2,2075,2556,49
767695083,50,"M","Graduate","Married","$80K - $120K",3,4589,1590,37
711791583,52,"F","Graduate","Single","Less than $40K",2,2317,884,19
710038008,56,"F","Graduate","Single","$40K - $60K",2,6038,1447,30
718349058,49,"M","High School","Married","$80K - $120K",3,29659,1193,21
789842283,54,"M","Graduate","Married","$60K - $80K",3,4320,706,21
714900408,41,"F","High School","Single","Less than $40K",1,5773,1306,39
779504058,46,"F","Post-Graduate","Married","Less than $40K",1,5014,1209,25
795979833,53,"F","High School","Married","Less than $40K",1,3445,1074,31
717392358,60,"M","Graduate","Married","$80K - $120K",2,23412,1786,50
718640508,59,"F","Graduate","Single","Less than $40K",1,3044,1456,36
781794708,35,"M","Post-Graduate","Unknown","$80K - $120K",1,17030,715,25
801383808,50,"M","Graduate","Single","$60K - $80K",2,23090,1198,24
710677608,53,"M","Post-Graduate","Unknown","$80K - $120K",2,29205,1556,43
708217758,63,"M","Graduate","Married","$60K - $80K",2,14035,1606,30
719407983,37,"F","Post-Graduate","Married","Less than $40K",3,2061,2400,60
767294658,56,"M","College","Single","$120K +",2,16867,654,14
709122483,56,"M","Graduate","Married","$60K - $80K",3,2783,1909,54
708241233,52,"F","Post-Graduate","Single","Less than $40K",3,2972,922,25
717860358,40,"F","High School","Single","$40K - $60K",3,5124,1158,42
789337233,63,"M","Graduate","Married","$40K - $60K",6,2880,1323,26
720902133,58,"M","High School","Single","$40K - $60K",1,5579,1025,35
708398283,37,"F","Graduate","Married","$40K - $60K",2,4394,1377,32
715878183,46,"M","Graduate","Single","$80K - $120K",3,18325,1517,33
719451483,46,"F","Post-Graduate","Married","Less than $40K",3,3773,1528,25
709110633,41,"M","Graduate","Single","$80K - $120K",1,21684,1329,24
721059033,48,"F","High School","Divorced","$40K - $60K",1,1919,1505,33
779912283,49,"F","Graduate","Single","$40K - $60K",3,9995,1172,38
717701733,44,"M","Graduate","Married","$80K - $120K",2,11910,1646,39
709913733,39,"F","College","Married","Less than $40K",2,2279,1693,32
718768158,57,"M","College","Single","$40K - $60K",1,3539,1336,23
721375308,48,"M","High School","Married","$80K - $120K",1,30579,1289,19
711374283,47,"M","High School","Single","$80K - $120K",1,24480,1416,32
778465533,54,"F","College","Married","Less than $40K",1,1638,1885,51
712138983,54,"M","Graduate","Married","$60K - $80K",3,2947,1744,53
716920908,52,"M","High School","Married","$80K - $120K",1,5738,1922,48
711195558,59,"M","College","Single","$40K - $60K",3,7251,1300,36
712024908,56,"F","College","Married","Less than $40K",2,2641,1439,39
714893733,55,"M","High School","Married","$80K - $120K",3,16794,1917,33
754886958,48,"F","College","Divorced","$40K - $60K",1,9336,1391,39
710104908,56,"F","College","Single","Less than $40K",1,2763,1246,31
713827383,65,"F","High School","Married","Less than $40K",2,3198,1936,44
720267033,34,"M","Post-Graduate","Single","$80K - $120K",3,5100,2375,63
712049208,56,"M","Post-Graduate","Married","$60K - $80K",1,3955,1238,25
708688608,62,"F","High School","Married","Less than $40K",3,3140,1626,41
711019308,58,"M","High School","Single","$60K - $80K",2,6385,1612,47
768600558,41,"F","Graduate","Single","$40K - $60K",2,2375,1071,28
710202783,33,"M","Graduate","Married","$60K - $80K",3,1963,1378,37
712899333,47,"F","College","Single","Less than $40K",2,4256,1100,29
767036433,56,"F","Graduate","Married","Less than $40K",1,5097,2052,45
793473033,51,"M","Graduate","Single","$60K - $80K",2,3228,1349,33
721232058,49,"M","Graduate","Unknown","$40K - $60K",1,20231,1215,36
717998058,26,"M","Graduate","Single","Less than $40K",3,2585,2644,40
779610033,58,"M","College","Married","$80K - $120K",3,12151,918,14
827332983,46,"M","High School","Single","$80K - $120K",2,34516,1362,31
721183983,48,"M","High School","Married","$120K +",3,34516,1222,37
710698233,37,"M","Graduate","Married","$80K - $120K",1,10021,1463,40
793581933,50,"M","High School","Single","$40K - $60K",3,19853,1878,55
719229708,41,"F","High School","Single","$40K - $60K",3,4969,1489,32
715158483,48,"F","Graduate","Divorced","Less than $40K",2,3117,1437,37
809296308,46,"M","College","Single","$80K - $120K",2,21526,1313,37
778176108,61,"M","High School","Single","$60K - $80K",2,5504,1290,38
717049533,39,"F","Doctorate","Unknown","$40K - $60K",3,7262,1438,28
719366358,51,"M","High School","Married","$120K +",3,7319,1233,29
721417233,45,"M","Graduate","Married","$60K - $80K",5,1438.3,709,27
714578283,47,"M","Graduate","Married","$60K - $80K",3,2053,1283,28
769574883,41,"M","High School","Married","$40K - $60K",1,12804,1101,37
717643608,48,"M","College","Married","$80K - $120K",3,26443,1593,36
709198158,50,"F","Graduate","Single","Less than $40K",2,3125,1631,46
712419708,56,"F","Post-Graduate","Married","Less than $40K",1,4930,2194,53
709103358,39,"F","College","Single","Less than $40K",3,9476,1128,27
716966808,47,"M","Graduate","Married","$80K - $120K",3,11722,1497,35
772264383,44,"M","Graduate","Single","$120K +",1,13301,1385,50
769137108,43,"F","Post-Graduate","Married","Less than $40K",3,1438.3,974,28
717640083,59,"M","High School","Married","$60K - $80K",2,6705,731,18
778686408,48,"M","College","Married","$60K - $80K",3,19324,1744,50
715015683,44,"M","Graduate","Single","$40K - $60K",3,5331,1766,39
710462433,45,"M","Graduate","Single","$60K - $80K",2,17625,1773,39
721342383,39,"M","Graduate","Married","$80K - $120K",3,17438,1860,37
720179883,40,"M","College","Unknown","$80K - $120K",3,1962,1179,27
794977533,62,"M","High School","Married","$60K - $80K",3,8077,906,16
779445108,26,"M","Graduate","Single","$40K - $60K",1,3290,2781,54
710955633,54,"F","Doctorate","Single","Less than $40K",1,9256,1446,37
716149383,62,"M","Graduate","Married","$60K - $80K",3,3674,1703,48
752604633,57,"M","College","Married","$40K - $60K",5,6462,761,17
713889933,59,"M","Graduate","Single","$40K - $60K",2,1638,1536,44
709446783,46,"M","Graduate","Single","$60K - $80K",3,4335,1373,36
789115833,44,"M","High School","Single","$60K - $80K",3,3233,1256,29
708864708,46,"M","College","Unknown","$80K - $120K",2,24869,1409,36
717758583,40,"M","High School","Unknown","$60K - $80K",2,3624,1469,23
717956283,57,"F","Graduate","Single","$40K - $60K",1,10953,1277,29
721379433,44,"M","Graduate","Married","$60K - $80K",2,11338,1227,24
712027683,47,"F","Doctorate","Married","Less than $40K",2,5544,1336,38
716027208,47,"M","Doctorate","Married","$60K - $80K",1,19665,1110,58
720475233,50,"F","High School","Married","Less than $40K",2,2927,1474,26
712275108,53,"F","College","Married","$40K - $60K",3,5146,1955,44
718121658,56,"M","College","Married","$60K - $80K",3,1704,660,17
711593808,55,"M","High School","Married","$60K - $80K",2,1438.3,888,18
716222808,53,"F","High School","Married","Less than $40K",1,2974,1785,45
788779008,57,"M","High School","Married","$60K - $80K",1,2736,1211,25
710404533,50,"M","Graduate","Married","$80K - $120K",2,1438.3,1391,40
715383108,52,"M","Graduate","Single","$120K +",1,34516,1616,50
711697158,60,"M","Graduate","Married","Less than $40K",2,1976,1498,43
808964433,46,"F","Doctorate","Divorced","Less than $40K",1,8693,1594,45
710541858,45,"M","High School","Married","Less than $40K",5,7717,1248,37
797707008,44,"F","Doctorate","Married","Less than $40K",1,7222,920,18
816596583,45,"M","Doctorate","Married","$80K - $120K",3,11710,1749,50
717517758,57,"F","High School","Married","$40K - $60K",2,2278,2307,45
753226158,34,"F","Graduate","Married","Less than $40K",2,3663,1826,35
720605808,53,"F","Graduate","Single","Less than $40K",2,1438.3,799,17
711028308,44,"F","Graduate","Married","Less than $40K",1,1717,1468,29
814852533,50,"M","Graduate","Married","$80K - $120K",2,16813,1482,46
711526533,33,"M","Post-Graduate","Married","$80K - $120K",2,16434,1726,37
804403908,50,"M","Graduate","Single","$60K - $80K",2,21872,1806,31
716999883,51,"M","High School","Married","$80K - $120K",2,15897,1405,43
